date,tmax_era5,tmin_era5,precip_era5,tmax_imd,tmin_imd,precip_imd,tmax,tmin,precip
1981-01-01,,,,22.130642,10.1668415,0.0,22.13064193725586,10.166841506958008,0.0
1981-01-02,,,,23.237574,10.032536,0.0,23.237573623657227,10.032535552978516,0.0
1981-01-03,,,,24.636816,11.181341,0.0,24.636816024780273,11.181341171264648,0.0
1981-01-04,,,,24.933495,11.145204,0.0,24.933494567871094,11.145203590393066,0.0
1981-01-05,,,,24.853401,13.177521,0.0,24.85340118408203,13.177520751953125,0.0
1981-01-06,,,,24.355547,12.418145,0.426533,24.355546951293945,12.418145179748535,0.4265330135822296
1981-01-07,,,,21.748394,10.128528,0.66289186,21.748394012451172,10.128527641296387,0.6628918647766113
1981-01-08,,,,18.801613,7.397631,0.5357768,18.801612854003906,7.3976311683654785,0.5357767939567566
1981-01-09,,,,18.98629,6.3145323,0.16785634,18.986289978027344,6.314532279968262,0.1678563356399536
1981-01-10,,,,18.995583,6.1205525,0.0,18.995582580566406,6.1205525398254395,0.0
1981-01-11,,,,19.446926,7.5011325,0.0,19.44692611694336,7.501132488250732,0.0
1981-01-12,,,,20.197853,7.728069,0.0,20.197853088378906,7.728068828582764,0.0
1981-01-13,,,,19.439941,5.902495,0.0,19.43994140625,5.90249490737915,0.0
1981-01-14,,,,19.306465,6.3063807,0.0,19.30646514892578,6.306380748748779,0.0
1981-01-15,,,,20.793549,6.707567,0.0,20.793548583984375,6.70756721496582,0.0
1981-01-16,,,,21.963448,8.295733,0.0,21.96344757080078,8.295733451843262,0.0
1981-01-17,,,,24.20456,9.651245,0.0,24.204559326171875,9.6512451171875,0.0
1981-01-18,,,,23.048252,10.783038,0.023439502,23.04825210571289,10.783038139343262,0.023439502343535423
1981-01-19,,,,21.292387,8.577352,0.0036904751,21.292387008666992,8.577351570129395,0.003690475132316351
1981-01-20,,,,22.555117,7.923231,0.0,22.555116653442383,7.92323112487793,0.0
1981-01-21,,,,23.92608,9.020926,0.0,23.92608070373535,9.020926475524902,0.0
1981-01-22,,,,24.933159,10.0912695,0.0,24.93315887451172,10.091269493103027,0.0
1981-01-23,,,,25.687029,12.57261,0.0,25.687028884887695,12.572609901428223,0.0
1981-01-24,,,,25.36855,13.825172,0.002447598,25.368549346923828,13.825172424316406,0.0024475979153066874
1981-01-25,,,,24.260534,10.97254,0.4545764,24.260534286499023,10.972539901733398,0.45457640290260315
1981-01-26,,,,24.02884,11.417208,0.0,24.028839111328125,11.417207717895508,0.0
