date,tmax_era5,tmin_era5,precip_era5,tmax_imd,tmin_imd,precip_imd,tmax,tmin,precip
1981-01-01,,,,21.99884,10.411571,0.046563696,21.99884033203125,10.41157054901123,0.04656369611620903
1981-01-02,,,,22.572151,9.602352,0.0,22.57215118408203,9.602352142333984,0.0
1981-01-03,,,,23.194641,9.862485,0.0,23.19464111328125,9.8624849319458,0.0
1981-01-04,,,,24.537052,11.679924,1.1159766,24.537052154541016,11.679924011230469,1.1159765720367432
1981-01-05,,,,25.035166,12.7759495,0.0,25.035165786743164,12.775949478149414,0.0
1981-01-06,,,,23.977083,13.388316,0.021849884,23.977083206176758,13.38831615447998,0.02184988372027874
1981-01-07,,,,23.788313,12.846061,7.847109,23.788312911987305,12.846060752868652,7.847108840942383
1981-01-08,,,,19.429922,8.280076,0.0,19.429922103881836,8.280076026916504,0.0
1981-01-09,,,,18.304358,6.8034897,1.8200046,18.304357528686523,6.803489685058594,1.8200045824050903
1981-01-10,,,,18.334412,6.214669,0.01623691,18.33441162109375,6.214669227600098,0.016236910596489906
1981-01-11,,,,19.012648,9.79454,2.7243974,19.01264762878418,9.794540405273438,2.7243974208831787
1981-01-12,,,,18.879044,10.077533,0.098447606,18.879043579101562,10.077532768249512,0.09844760596752167
1981-01-13,,,,17.82501,7.9945526,0.0649137,17.825010299682617,7.9945526123046875,0.06491369754076004
1981-01-14,,,,17.82001,6.377769,0.08738219,17.820009231567383,6.3777689933776855,0.08738218992948532
1981-01-15,,,,19.825567,6.8581567,0.0,19.8255672454834,6.858156681060791,0.0
1981-01-16,,,,21.624027,7.6401553,0.095738105,21.624027252197266,7.64015531539917,0.09573810547590256
1981-01-17,,,,22.334259,8.727722,0.0,22.334259033203125,8.72772216796875,0.0
1981-01-18,,,,23.097649,11.909042,0.025460124,23.09764862060547,11.909042358398438,0.025460124015808105
1981-01-19,,,,18.50062,9.02514,1.269858,18.500619888305664,9.025139808654785,1.2698580026626587
1981-01-20,,,,20.998098,8.395792,0.0,20.998098373413086,8.395792007446289,0.0
1981-01-21,,,,22.494131,8.718229,0.0,22.494131088256836,8.718229293823242,0.0
1981-01-22,,,,23.521072,9.758744,0.0,23.521072387695312,9.758744239807129,0.0
1981-01-23,,,,24.195292,11.349219,16.225456,24.19529151916504,11.34921932220459,16.22545623779297
1981-01-24,,,,24.863424,14.372055,15.975803,24.86342430114746,14.372055053710938,15.97580337524414
1981-01-25,,,,23.78937,13.512007,2.534604,23.789369583129883,13.512006759643555,2.534604072570801
1981-01-26,,,,22.224174,13.245119,0.0,22.22417449951172,13.245119094848633,0.0
1981-01-27,,,,22.760548,11.918363,0.0,22.760547637939453,11.918362617492676,0.0
1981-01-28,,,,22.60788,10.861303,0.0,22.607879638671875,10.861303329467773,0.0
1981-01-29,,,,24.428095,11.43867,0.0,24.4280948638916,11.43867015838623,0.0
1981-01-30,,,,25.853195,13.521033,0.0,25.853195190429688,13.52103328704834,0.0
1981-01-31,,,,26.108114,13.816788,0.9575396,26.10811424255371,13.816787719726562,0.9575396180152893
1981-02-01,,,,25.760551,13.554243,0.34069812,25.76055145263672,13.554243087768555,0.34069812297821045
1981-02-02,,,,23.571728,11.547972,0.0,23.571727752685547,11.547971725463867,0.0
1981-02-03,,,,21.832664,9.066871,0.77723825,21.832664489746094,9.06687068939209,0.7772382497787476
1981-02-04,,,,23.43656,9.387957,0.0,23.436559677124023,9.387956619262695,0.0
1981-02-05,,,,26.953526,12.0738735,0.049033217,26.95352554321289,12.073873519897461,0.04903321713209152
1981-02-06,,,,28.206596,14.241572,0.2139004,28.20659637451172,14.241572380065918,0.2139004021883011
1981-02-07,,,,26.158403,13.47361,0.09997226,26.158403396606445,13.473609924316406,0.09997226297855377
1981-02-08,,,,24.562168,10.748202,0.40730658,24.56216812133789,10.748202323913574,0.40730658173561096
1981-02-09,,,,24.233572,10.968891,0.40420815,24.233572006225586,10.968891143798828,0.40420815348625183
1981-02-10,,,,23.372093,9.717653,0.0,23.372093200683594,9.717653274536133,0.0
1981-02-11,,,,21.956226,8.224383,0.0,21.956226348876953,8.224383354187012,0.0
1981-02-12,,,,23.660759,9.702277,0.012122602,23.66075897216797,9.702277183532715,0.012122602201998234
1981-02-13,,,,26.496288,10.275981,0.045544177,26.496288299560547,10.275980949401855,0.045544177293777466
1981-02-14,,,,28.561235,11.760483,0.0,28.561235427856445,11.760482788085938,0.0
1981-02-15,,,,29.39335,13.0805645,0.0,29.39335060119629,13.080564498901367,0.0
1981-02-16,,,,30.073074,13.859448,0.09140068,30.073074340820312,13.859448432922363,0.09140068292617798
1981-02-17,,,,30.228338,14.604099,0.0,30.22833824157715,14.60409927368164,0.0
1981-02-18,,,,28.558775,13.795027,0.47668985,28.558774948120117,13.795026779174805,0.4766898453235626
1981-02-19,,,,27.49351,12.613185,0.0,27.49350929260254,12.613184928894043,0.0
1981-02-20,,,,27.89584,12.959017,0.0,27.89583969116211,12.959016799926758,0.0
1981-02-21,,,,28.328142,13.171939,0.0,28.328142166137695,13.1719388961792,0.0
1981-02-22,,,,28.374582,12.3928795,0.0,28.374582290649414,12.392879486083984,0.0
1981-02-23,,,,29.122896,12.703695,0.536965,29.122896194458008,12.703695297241211,0.536965012550354
1981-02-24,,,,30.88232,14.318819,1.1945199,30.882320404052734,14.318819046020508,1.1945198774337769
1981-02-25,,,,32.243828,16.89694,0.27584657,32.24382781982422,16.896940231323242,0.27584657073020935
1981-02-26,,,,32.211628,16.778269,0.0,32.21162796020508,16.778268814086914,0.0
1981-02-27,,,,31.70843,15.86602,2.0664725e-08,31.70842933654785,15.866020202636719,2.066472504225203e-08
1981-02-28,,,,30.803617,16.426136,0.0,30.803617477416992,16.426136016845703,0.0
1981-03-01,,,,32.25337,16.57246,0.0,32.25336837768555,16.572460174560547,0.0
1981-03-02,,,,30.711329,15.562533,0.0,30.711328506469727,15.562533378601074,0.0
1981-03-03,,,,27.588587,12.548346,0.0,27.588586807250977,12.548345565795898,0.0
