date,tmax_era5,tmin_era5,precip_era5,tmax_imd,tmin_imd,precip_imd,tmax,tmin,precip
1981-01-01,,,,21.495817,9.664189,0.0,21.495817184448242,9.664189338684082,0.0
1981-01-02,,,,22.56008,9.71128,0.0,22.56007957458496,9.71127986907959,0.0
1981-01-03,,,,23.9748,11.033945,0.0,23.97480010986328,11.033945083618164,0.0
1981-01-04,,,,24.436157,11.37903,0.0,24.4361572265625,11.379030227661133,0.0
1981-01-05,,,,24.68866,13.366575,0.03316527,24.68865966796875,13.366575241088867,0.03316526859998703
1981-01-06,,,,23.836575,12.213533,0.0,23.83657455444336,12.213533401489258,0.0
1981-01-07,,,,20.26142,9.183945,0.0132409865,20.26141929626465,9.183944702148438,0.013240986503660679
1981-01-08,,,,18.311823,7.0206475,1.2640251,18.31182289123535,7.0206475257873535,1.264025092124939
1981-01-09,,,,18.27066,5.918075,0.0,18.270660400390625,5.918075084686279,0.0
1981-01-10,,,,18.483795,5.5187716,0.0,18.483795166015625,5.518771648406982,0.0
1981-01-11,,,,18.78498,6.341825,0.0,18.78498077392578,6.341825008392334,0.0
1981-01-12,,,,19.477127,6.909126,0.0,19.477127075195312,6.909125804901123,0.0
1981-01-13,,,,18.722473,5.4222174,0.0,18.72247314453125,5.42221736907959,0.0
1981-01-14,,,,18.873892,5.927808,0.0,18.873891830444336,5.927807807922363,0.0
1981-01-15,,,,20.412891,6.104084,0.0,20.412891387939453,6.104084014892578,0.0
1981-01-16,,,,21.115406,7.677445,0.0,21.115406036376953,7.677444934844971,0.0
1981-01-17,,,,23.471497,8.676663,0.0,23.47149658203125,8.676663398742676,0.0
1981-01-18,,,,22.218538,10.255485,0.0,22.218538284301758,10.255484580993652,0.0
1981-01-19,,,,21.164831,7.871605,0.0,21.164831161499023,7.871604919433594,0.0
1981-01-20,,,,22.36066,7.78164,0.0,22.360660552978516,7.78164005279541,0.0
1981-01-21,,,,23.572098,8.508284,0.0,23.572097778320312,8.508283615112305,0.0
1981-01-22,,,,24.582338,9.647166,0.0,24.582338333129883,9.64716625213623,0.0
1981-01-23,,,,25.253012,12.593297,0.0,25.25301170349121,12.593297004699707,0.0
1981-01-24,,,,25.328953,13.626733,0.091622725,25.32895278930664,13.62673282623291,0.0916227251291275
1981-01-25,,,,24.095558,11.024721,0.7304847,24.095558166503906,11.024721145629883,0.7304847240447998
1981-01-26,,,,23.583576,11.858806,0.0,23.583576202392578,11.858805656433105,0.0
1981-01-27,,,,22.60255,10.571678,0.0,22.602550506591797,10.571678161621094,0.0
1981-01-28,,,,22.583162,10.2598,0.0,22.583162307739258,10.25979995727539,0.0
