date,tmax_era5,tmin_era5,precip_era5,tmax_imd,tmin_imd,precip_imd,tmax,tmin,precip
1981-01-01,,,,21.492867,9.135644,0.0,21.49286651611328,9.13564395904541,0.0
1981-01-02,,,,22.82109,8.528079,0.0,22.821090698242188,8.52807903289795,0.0
1981-01-03,,,,23.655842,10.085556,0.0,23.655841827392578,10.085556030273438,0.0
1981-01-04,,,,23.66499,11.03306,0.0940078,23.664989471435547,11.033060073852539,0.09400779753923416
1981-01-05,,,,24.135422,12.01603,0.21200208,24.135421752929688,12.016030311584473,0.21200208365917206
1981-01-06,,,,22.729631,11.497916,0.03689759,22.729631423950195,11.497916221618652,0.03689758852124214
1981-01-07,,,,18.75962,8.41009,0.077143356,18.759620666503906,8.410090446472168,0.0771433562040329
1981-01-08,,,,18.67521,6.747457,0.0,18.67521095275879,6.747457027435303,0.0
1981-01-09,,,,18.913122,5.255629,0.0,18.913122177124023,5.255629062652588,0.0
1981-01-10,,,,19.186102,5.2095585,0.0,19.18610191345215,5.209558486938477,0.0
1981-01-11,,,,18.895615,5.79649,0.048616868,18.895614624023438,5.79649019241333,0.04861686751246452
1981-01-12,,,,19.081572,6.7194047,0.0,19.081571578979492,6.719404697418213,0.0
1981-01-13,,,,18.572048,5.4837737,0.0,18.57204818725586,5.483773708343506,0.0
1981-01-14,,,,19.562084,5.4997168,0.0,19.562084197998047,5.499716758728027,0.0
1981-01-15,,,,20.385963,5.2327213,0.0,20.385963439941406,5.232721328735352,0.0
1981-01-16,,,,21.176216,6.3272395,0.0,21.17621612548828,6.327239513397217,0.0
1981-01-17,,,,22.428926,7.099871,0.0,22.428926467895508,7.0998711585998535,0.0
1981-01-18,,,,22.30667,9.0507765,0.0,22.306669235229492,9.050776481628418,0.0
1981-01-19,,,,21.748167,7.2072635,0.0,21.748167037963867,7.207263469696045,0.0
1981-01-20,,,,22.497423,7.3071775,0.045686748,22.49742317199707,7.307177543640137,0.0456867478787899
1981-01-21,,,,23.50643,8.897298,0.0,23.50642967224121,8.897297859191895,0.0
