date,tmax_era5,tmin_era5,precip_era5,tmax_imd,tmin_imd,precip_imd,tmax,tmin,precip
1981-01-01,,,,23.402191,11.238796,0.4883648,23.402191162109375,11.23879623413086,0.4883647859096527
1981-01-02,,,,24.290874,11.086422,0.60766643,24.290874481201172,11.086421966552734,0.6076664328575134
1981-01-03,,,,25.221098,11.892352,0.0,25.221097946166992,11.892352104187012,0.0
1981-01-04,,,,25.803059,12.098125,0.0,25.803058624267578,12.098125457763672,0.0
1981-01-05,,,,25.739723,13.545272,0.0,25.739723205566406,13.545271873474121,0.0
1981-01-06,,,,25.568892,13.691806,0.0029764771,25.568891525268555,13.691805839538574,0.0029764771461486816
1981-01-07,,,,24.183544,12.75421,2.0866387,24.183544158935547,12.754210472106934,2.0866386890411377
1981-01-08,,,,20.207664,8.536691,0.0,20.207664489746094,8.536690711975098,0.0
1981-01-09,,,,20.260723,7.70892,6.629868,20.260723114013672,7.708920001983643,6.629868030548096
1981-01-10,,,,19.751244,7.67466,0.0,19.751243591308594,7.6746602058410645,0.0
1981-01-11,,,,20.398602,10.13451,2.788395,20.398601531982422,10.134510040283203,2.7883949279785156
1981-01-12,,,,20.866056,10.251096,0.0,20.866056442260742,10.25109577178955,0.0
1981-01-13,,,,19.906466,7.9483104,0.0,19.906465530395508,7.948310375213623,0.0
1981-01-14,,,,19.925163,7.6692715,0.004959589,19.92516326904297,7.669271469116211,0.004959588870406151
1981-01-15,,,,21.215982,7.43143,0.0,21.21598243713379,7.431429862976074,0.0
1981-01-16,,,,22.988287,8.72947,0.0,22.9882869720459,8.729470252990723,0.0
1981-01-17,,,,24.447596,10.332686,0.0,24.447595596313477,10.332686424255371,0.0
1981-01-18,,,,24.76076,12.473835,0.163132,24.760759353637695,12.473834991455078,0.16313199698925018
1981-01-19,,,,20.521614,9.802096,0.7084794,20.52161407470703,9.802096366882324,0.7084794044494629
1981-01-20,,,,22.488955,8.906089,1.6871223,22.488954544067383,8.906088829040527,1.6871223449707031
1981-01-21,,,,24.18234,9.824614,0.60117126,24.182340621948242,9.824613571166992,0.6011712551116943
1981-01-22,,,,25.096544,10.7895775,2.7309606,25.09654426574707,10.78957748413086,2.7309606075286865
1981-01-23,,,,26.253874,13.07125,0.0,26.253873825073242,13.071249961853027,0.0
1981-01-24,,,,26.260101,15.3447275,0.054724537,26.260101318359375,15.344727516174316,0.05472453683614731
1981-01-25,,,,25.438568,12.765466,0.010213374,25.438568115234375,12.76546573638916,0.01021337416023016
1981-01-26,,,,25.29328,12.616398,0.16434026,25.29327964782715,12.616397857666016,0.16434025764465332
1981-01-27,,,,25.191187,12.011023,0.0,25.191186904907227,12.011022567749023,0.0
1981-01-28,,,,25.027294,12.08771,0.0,25.027294158935547,12.0877103805542,0.0
1981-01-29,,,,27.093098,12.963914,0.0,27.093097686767578,12.963913917541504,0.0
1981-01-30,,,,28.231756,14.211289,0.27321097,28.23175621032715,14.211289405822754,0.27321097254753113
1981-01-31,,,,28.499866,14.483039,0.3021716,28.499866485595703,14.483038902282715,0.30217158794403076
1981-02-01,,,,26.909813,13.323017,0.0,26.909812927246094,13.323017120361328,0.0
1981-02-02,,,,25.366646,11.13951,0.0,25.36664581298828,11.139510154724121,0.0
1981-02-03,,,,24.244972,10.527796,0.020786364,24.244972229003906,10.527795791625977,0.020786363631486893
1981-02-04,,,,26.465626,11.361528,0.0,26.465625762939453,11.361528396606445,0.0
1981-02-05,,,,29.176634,14.093108,0.0,29.176633834838867,14.093108177185059,0.0
1981-02-06,,,,29.907412,14.334192,0.19177786,29.907411575317383,14.334192276000977,0.19177785515785217
1981-02-07,,,,27.88311,13.473977,0.0061284318,27.88311004638672,13.473977088928223,0.006128431763499975
1981-02-08,,,,26.433992,12.326868,0.55500454,26.433992385864258,12.326868057250977,0.5550045371055603
1981-02-09,,,,26.5627,11.682165,0.32178587,26.562700271606445,11.682165145874023,0.3217858672142029
1981-02-10,,,,25.669819,10.699947,0.0,25.669818878173828,10.699947357177734,0.0
1981-02-11,,,,23.694563,8.903599,0.0,23.694562911987305,8.90359878540039,0.0
1981-02-12,,,,25.722889,10.465302,0.0,25.722888946533203,10.465302467346191,0.0
1981-02-13,,,,29.299553,11.61887,0.0,29.29955291748047,11.61886978149414,0.0
1981-02-14,,,,30.82184,12.994852,1.8030432,30.821840286254883,12.994852066040039,1.803043246269226
1981-02-15,,,,30.225988,13.485828,0.0,30.225988388061523,13.485828399658203,0.0
1981-02-16,,,,31.020302,14.992648,2.8241024,31.020301818847656,14.992648124694824,2.8241024017333984
1981-02-17,,,,31.27555,15.658421,0.0,31.275550842285156,15.65842056274414,0.0
1981-02-18,,,,30.646173,15.54083,0.0,30.64617347717285,15.5408296585083,0.0
1981-02-19,,,,29.732374,15.071239,0.0,29.73237419128418,15.071239471435547,0.0
1981-02-20,,,,30.235472,15.596512,0.0,30.235471725463867,15.596511840820312,0.0
1981-02-21,,,,30.607338,15.756018,0.0,30.607337951660156,15.756017684936523,0.0
1981-02-22,,,,30.693872,15.211615,0.0,30.693872451782227,15.211614608764648,0.0
1981-02-23,,,,31.65074,15.945249,0.24464065,31.650739669799805,15.9452486038208,0.24464064836502075
1981-02-24,,,,32.879898,17.568256,0.0,32.87989807128906,17.568256378173828,0.0
1981-02-25,,,,33.603188,18.856575,0.016322516,33.603187561035156,18.85657501220703,0.016322515904903412
1981-02-26,,,,33.494717,17.398354,0.0,33.49471664428711,17.398353576660156,0.0
1981-02-27,,,,33.042397,16.877892,0.0,33.042396545410156,16.877891540527344,0.0
1981-02-28,,,,32.654522,16.670347,0.0,32.65452194213867,16.670347213745117,0.0
1981-03-01,,,,33.161514,18.208141,0.0,33.16151428222656,18.208141326904297,0.0
1981-03-02,,,,32.200287,16.214954,0.0,32.200286865234375,16.214954376220703,0.0
1981-03-03,,,,29.911772,13.867499,0.25112972,29.911771774291992,13.867499351501465,0.25112971663475037
1981-03-04,,,,30.416899,14.67683,0.0,30.416898727416992,14.676830291748047,0.0
1981-03-05,,,,31.928783,15.644978,0.0,31.928783416748047,15.644977569580078,0.0
1981-03-06,,,,33.453686,16.86583,0.0,33.45368576049805,16.865829467773438,0.0
1981-03-07,,,,33.835247,19.247028,0.0,33.83524703979492,19.247028350830078,0.0
1981-03-08,,,,33.87579,19.13575,0.0,33.875789642333984,19.13574981689453,0.0
1981-03-09,,,,33.819626,18.66961,0.010569318,33.81962585449219,18.66960906982422,0.010569318197667599
1981-03-10,,,,32.917664,16.926682,0.0,32.91766357421875,16.926681518554688,0.0
1981-03-11,,,,33.189083,18.266655,0.0,33.189083099365234,18.26665496826172,0.0
1981-03-12,,,,32.284832,19.236008,0.0,32.28483200073242,19.236007690429688,0.0
1981-03-13,,,,32.23437,18.19386,0.3955329,32.234371185302734,18.193859100341797,0.39553290605545044
1981-03-14,,,,30.683813,18.008944,0.025843149,30.683813095092773,18.008943557739258,0.025843149051070213
1981-03-15,,,,31.264826,20.076035,0.00021085455,31.26482582092285,20.076034545898438,0.0002108545450028032
1981-03-16,,,,28.408972,17.531374,16.347515,28.408971786499023,17.531373977661133,16.347515106201172
1981-03-17,,,,28.784893,17.688927,0.0,28.784893035888672,17.688926696777344,0.0
1981-03-18,,,,31.3123,18.913342,0.47068492,31.312299728393555,18.913341522216797,0.4706849157810211
1981-03-19,,,,32.894,19.937069,0.13594943,32.89400100708008,19.937068939208984,0.13594943284988403
1981-03-20,,,,32.73666,19.445345,0.21886633,32.73666000366211,19.445344924926758,0.21886633336544037
1981-03-21,,,,27.911898,17.586637,0.28203008,27.911897659301758,17.586637496948242,0.2820300757884979
1981-03-22,,,,31.083015,18.511028,0.85206014,31.08301544189453,18.511028289794922,0.8520601391792297
1981-03-23,,,,31.93745,17.163347,0.049485456,31.937450408935547,17.163347244262695,0.0494854561984539
1981-03-24,,,,31.688356,16.900188,0.0,31.688356399536133,16.900188446044922,0.0
1981-03-25,,,,31.1785,16.555382,0.0,31.178499221801758,16.555381774902344,0.0
1981-03-26,,,,31.95064,17.447206,0.058273125,31.950639724731445,17.447206497192383,0.05827312543988228
1981-03-27,,,,33.953022,18.575932,0.009871023,33.95302200317383,18.575931549072266,0.009871022775769234
1981-03-28,,,,35.58811,19.81668,0.0,35.588111877441406,19.816680908203125,0.0
1981-03-29,,,,36.286877,21.163078,0.0,36.2868766784668,21.16307830810547,0.0
